DN,objectClass,distinguishedName,instanceType,whenCreated,whenChanged,subRefs,uSNCreated,dSASignature,uSNChanged,name,objectGUID,creationTime,forceLogoff,lockoutDuration,lockOutObservationWindow,lockoutThreshold,maxPwdAge,minPwdAge,minPwdLength,modifiedCountAtLastProm,nextRid,pwdProperties,pwdHistoryLength,objectSid,serverState,uASCompat,modifiedCount,auditingPolicy,nTMixedDomain,rIDManagerReference,fSMORoleOwner,systemFlags,wellKnownObjects,objectCategory,isCriticalSystemObject,gPLink,dSCorePropagationData,otherWellKnownObjects,masteredBy,ms-DS-MachineAccountQuota,msDS-Behavior-Version,msDS-PerUserTrustQuota,msDS-AllUsersTrustQuota,msDS-PerUserTrustTombstonesQuota,msDs-masteredBy,msDS-IsDomainFor,msDS-NcType,dc,cn,description,showInAdvancedViewOnly,ou,msDS-TombstoneQuotaFactor,displayName,flags,versionNumber,gPCFunctionalityVersion,gPCFileSysPath,gPCMachineExtensionNames,ipsecName,ipsecID,ipsecDataType,ipsecData,ipsecISAKMPReference,ipsecNFAReference,ipsecOwnersReference,ipsecNegotiationPolicyReference,ipsecFilterReference,iPSECNegotiationPolicyType,iPSECNegotiationPolicyAction,revision,memberOf,userAccountControl,badPwdCount,codePage,countryCode,badPasswordTime,lastLogoff,lastLogon,logonHours,pwdLastSet,primaryGroupID,adminCount,accountExpires,logonCount,sAMAccountName,sAMAccountType,lastLogonTimestamp,groupType,member,samDomainUpdates,localPolicyFlags,operatingSystem,operatingSystemVersion,serverReferenceBL,dNSHostName,rIDSetReferences,servicePrincipalName,msDS-AdditionalDnsHostName,msDS-SupportedEncryptionTypes,msDS-GenerationId,msDFSR-ComputerReferenceBL,rIDAvailablePool,rIDAllocationPool,rIDPreviousAllocationPool,rIDUsedPool,rIDNextRID,dnsRecord,msDFSR-Flags,msDFSR-ReplicationGroupType,msDFSR-FileFilter,msDFSR-DirectoryFilter,serverReference,msDFSR-ComputerReference,msDFSR-MemberReferenceBL,msDFSR-Version,msDFSR-ReplicationGroupGuid,msDFSR-MemberReference,msDFSR-RootPath,msDFSR-StagingPath,msDFSR-Enabled,msDFSR-Options,msDFSR-ContentSetGuid,msDFSR-ReadOnly,sn,physicalDeliveryOfficeName,telephoneNumber,givenName,department,userPrincipalName,mail
"DC=HAKAN,DC=LOCAL",domainDNS,"DC=HAKAN,DC=LOCAL",5,20221018175320.0Z,20221022183941.0Z,"DC=ForestDnsZones,DC=HAKAN,DC=LOCAL;DC=DomainDnsZones,DC=HAKAN,DC=LOCAL;CN=Configuration,DC=HAKAN,DC=LOCAL",4099,X'010000002800000000000000000000000000000000000000f4f4b6d3f417204990fb94f6c7a83f3d',40971,HAKAN,X'5deba2787b843b43b110067282c26fe6',133109375811546286,-9223372036854775808,-6000000000,-6000000000,0,-36288000000000,-864000000000,7,0,1001,1,24,X'0104000000000005150000005c675768c2a54f4a5ee931f7',1,1,1,X'0001',0,"CN=RID Manager$,CN=System,DC=HAKAN,DC=LOCAL","CN=NTDS Settings,CN=DC-DNS-ANK,CN=Servers,CN=Default-First-Site-Name,CN=Sites,CN=Configuration,DC=HAKAN,DC=LOCAL",-1946157056,"B:32:6227F0AF1FC2410D8E3BB10615BB5B0F:CN=NTDS Quotas,DC=HAKAN,DC=LOCAL;B:32:F4BE92A4C777485E878E9421D53087DB:CN=Microsoft,CN=Program Data,DC=HAKAN,DC=LOCAL;B:32:09460C08AE1E4A4EA0F64AEE7DAA1E5A:CN=Program Data,DC=HAKAN,DC=LOCAL;B:32:22B70C67D56E4EFB91E9300FCA3DC1AA:CN=ForeignSecurityPrincipals,DC=HAKAN,DC=LOCAL;B:32:18E2EA80684F11D2B9AA00C04F79F805:CN=Deleted Objects,DC=HAKAN,DC=LOCAL;B:32:2FBAC1870ADE11D297C400C04FD8D5CD:CN=Infrastructure,DC=HAKAN,DC=LOCAL;B:32:AB8153B7768811D1ADED00C04FD8D5CD:CN=LostAndFound,DC=HAKAN,DC=LOCAL;B:32:AB1D30F3768811D1ADED00C04FD8D5CD:CN=System,DC=HAKAN,DC=LOCAL;B:32:A361B2FFFFD211D1AA4B00C04FD7D83A:OU=Domain Controllers,DC=HAKAN,DC=LOCAL;B:32:AA312825768811D1ADED00C04FD8D5CD:CN=Computers,DC=HAKAN,DC=LOCAL;B:32:A9D1CA15768811D1ADED00C04FD8D5CD:CN=Users,DC=HAKAN,DC=LOCAL","CN=Domain-DNS,CN=Schema,CN=Configuration,DC=HAKAN,DC=LOCAL",TRUE,"[LDAP://CN={31B2F340-016D-11D2-945F-00C04FB984F9},CN=Policies,CN=System,DC=HAKAN,DC=LOCAL\;0]",16010101000000.0Z,"B:32:1EB93889E40C45DF9F0C64D23BBB6237:CN=Managed Service Accounts,DC=HAKAN,DC=LOCAL","CN=NTDS Settings,CN=DC-DNS-ANK,CN=Servers,CN=Default-First-Site-Name,CN=Sites,CN=Configuration,DC=HAKAN,DC=LOCAL",10,6,1,1000,10,"CN=NTDS Settings,CN=DC-DNS-ANK,CN=Servers,CN=Default-First-Site-Name,CN=Sites,CN=Configuration,DC=HAKAN,DC=LOCAL","CN=NTDS Settings,CN=DC-DNS-ANK,CN=Servers,CN=Default-First-Site-Name,CN=Sites,CN=Configuration,DC=HAKAN,DC=LOCAL",0,HAKAN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CN=Users,DC=HAKAN,DC=LOCAL",container,"CN=Users,DC=HAKAN,DC=LOCAL",4,20221018175326.0Z,20221018175326.0Z,,5821,,5821,Users,X'bf0dbc95c016d24b930c43f351f948eb',,,,,,,,,,,,,,,,,,,,,-1946157056,,"CN=Container,CN=Schema,CN=Configuration,DC=HAKAN,DC=LOCAL",TRUE,,20221021182809.0Z;20221018175407.0Z;16010101000416.0Z,,,,,,,,,,,,Users,Default container for upgraded user accounts,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CN=Computers,DC=HAKAN,DC=LOCAL",container,"CN=Computers,DC=HAKAN,DC=LOCAL",4,20221018175326.0Z,20221018175326.0Z,,5822,,5822,Computers,X'74d70cbe6215bc4fa981e5f9644fb01b',,,,,,,,,,,,,,,,,,,,,-1946157056,,"CN=Container,CN=Schema,CN=Configuration,DC=HAKAN,DC=LOCAL",TRUE,,20221021182809.0Z;20221018175407.0Z;16010101000416.0Z,,,,,,,,,,,,Computers,Default container for upgraded computer accounts,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"OU=Domain Controllers,DC=HAKAN,DC=LOCAL",organizationalUnit,"OU=Domain Controllers,DC=HAKAN,DC=LOCAL",4,20221018175327.0Z,20221018175327.0Z,,5957,,5957,Domain Controllers,X'c05ac5866c72804a83864dace7ccd489',,,,,,,,,,,,,,,,,,,,,-1946157056,,"CN=Organizational-Unit,CN=Schema,CN=Configuration,DC=HAKAN,DC=LOCAL",TRUE,"[LDAP://CN={6AC1786C-016F-11D2-945F-00C04fB984F9},CN=Policies,CN=System,DC=HAKAN,DC=LOCAL\;0]",20221021182809.0Z;20221018175407.0Z;16010101000416.0Z,,,,,,,,,,,,,Default container for domain controllers,FALSE,Domain Controllers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CN=System,DC=HAKAN,DC=LOCAL",container,"CN=System,DC=HAKAN,DC=LOCAL",4,20221018175326.0Z,20221018175326.0Z,,5823,,5823,System,X'e8e8ea1ce9e23b45baa126405f2c1cd0',,,,,,,,,,,,,,,,,,,,,-1946157056,,"CN=Container,CN=Schema,CN=Configuration,DC=HAKAN,DC=LOCAL",TRUE,,20221021182809.0Z;20221018175407.0Z;16010101000416.0Z,,,,,,,,,,,,System,Builtin system settings,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CN=LostAndFound,DC=HAKAN,DC=LOCAL",lostAndFound,"CN=LostAndFound,DC=HAKAN,DC=LOCAL",4,20221018175326.0Z,20221018175326.0Z,,5819,,5819,LostAndFound,X'e35bf23b5397ea4e8d8732398eb2988b',,,,,,,,,,,,,,,,,,,,,-1946157056,,"CN=Lost-And-Found,CN=Schema,CN=Configuration,DC=HAKAN,DC=LOCAL",TRUE,,20221021182809.0Z;20221018175407.0Z;16010101000416.0Z,,,,,,,,,,,,LostAndFound,Default container for orphaned objects,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CN=Infrastructure,DC=HAKAN,DC=LOCAL",infrastructureUpdate,"CN=Infrastructure,DC=HAKAN,DC=LOCAL",4,20221018175327.0Z,20221018175327.0Z,,5958,,5958,Infrastructure,X'a898c149ec968c4180fe55a9749897bf',,,,,,,,,,,,,,,,,,,,"CN=NTDS Settings,CN=DC-DNS-ANK,CN=Servers,CN=Default-First-Site-Name,CN=Sites,CN=Configuration,DC=HAKAN,DC=LOCAL",-1946157056,,"CN=Infrastructure-Update,CN=Schema,CN=Configuration,DC=HAKAN,DC=LOCAL",TRUE,,20221021182809.0Z;20221018175407.0Z;16010101000416.0Z,,,,,,,,,,,,Infrastructure,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CN=ForeignSecurityPrincipals,DC=HAKAN,DC=LOCAL",container,"CN=ForeignSecurityPrincipals,DC=HAKAN,DC=LOCAL",4,20221018175327.0Z,20221018175327.0Z,,5959,,5959,ForeignSecurityPrincipals,X'ef9e1360fd094a488ad98ad39da0ebe0',,,,,,,,,,,,,,,,,,,,,-1946157056,,"CN=Container,CN=Schema,CN=Configuration,DC=HAKAN,DC=LOCAL",TRUE,,20221021182809.0Z;20221018175407.0Z;16010101000416.0Z,,,,,,,,,,,,ForeignSecurityPrincipals,"Default container for security identifiers (SIDs) associated with objects from external, trusted domains",FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CN=Program Data,DC=HAKAN,DC=LOCAL",container,"CN=Program Data,DC=HAKAN,DC=LOCAL",4,20221018175327.0Z,20221018175327.0Z,,5960,,5960,Program Data,X'2923708d020b23448203bded15a1544e',,,,,,,,,,,,,,,,,,,,,,,"CN=Container,CN=Schema,CN=Configuration,DC=HAKAN,DC=LOCAL",,,20221021182809.0Z;20221018175407.0Z;16010101000416.0Z,,,,,,,,,,,,Program Data,Default location for storage of application data.,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CN=Microsoft,CN=Program Data,DC=HAKAN,DC=LOCAL",container,"CN=Microsoft,CN=Program Data,DC=HAKAN,DC=LOCAL",4,20221018175327.0Z,20221018175327.0Z,,5961,,5961,Microsoft,X'9c3f84f6031d264591a0f0b0dbf5acf1',,,,,,,,,,,,,,,,,,,,,,,"CN=Container,CN=Schema,CN=Configuration,DC=HAKAN,DC=LOCAL",,,20221018175407.0Z;16010101000001.0Z,,,,,,,,,,,,Microsoft,Default location for storage of Microsoft application data.,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
