#TYPE Selected.Microsoft.ActiveDirectory.Management.ADUser
"SamAccountName","Company"
"IS.1","HAKAN.AS"
"IS.2","HAKAN.AS"
"IS.3","HAKAN.AS"
"IS.4","HAKAN.AS"
"IF.1","HAKAN.AS"
"IF.2","HAKAN.AS"
"IF.3","HAKAN.AS"
"IF.4","HAKAN.AS"
"IM.1","HAKAN.AS"
"IM.2","HAKAN.AS"
"IM.3","HAKAN.AS"
"IM.4","HAKAN.AS"
"AIT.1","HAKAN.AS"
"AIT.2","HAKAN.AS"
"AIT.3","HAKAN.AS"
"AIT.4","HAKAN.AS"
"AIK.1","HAKAN.AS"
"AIK.2","HAKAN.AS"
"AIK.3","HAKAN.AS"
"AIK.4","HAKAN.AS"
"AL.1","HAKAN.AS"
"AL.2","HAKAN.AS"
"AL.3","HAKAN.AS"
"AL.4","HAKAN.AS"
"Ahmet","HAKAN.AS"
"Mehmet","HAKAN.AS"
"Ayse","HAKAN.AS"
"Fatma","HAKAN.AS"
